Date,ZC=F,ZW=F,ZS=F
2024-12-17,466.0781,602.906,1172.028
2024-12-18,466.5996,602.0406,1172.1356
2024-12-19,466.0807,601.9812,1171.8064
2024-12-20,466.309,601.4524,1171.7022
2024-12-23,466.6868,601.4026,1172.8678
2024-12-24,466.9988,601.5454,1172.9532
2024-12-25,466.7061,601.1927,1172.3255
2024-12-26,466.849,600.6937,1172.2862
2024-12-27,467.4618,601.0885,1171.8623
2024-12-30,467.0068,601.2074,1171.9223
2024-12-31,467.1899,600.8979,1172.0701
2025-01-01,467.583,599.555,1172.1783
2025-01-02,467.4038,599.5171,1172.2923
2025-01-03,467.6405,599.7841,1172.0358
2025-01-06,467.3546,600.2743,1172.3821
2025-01-07,467.1579,599.9793,1173.0997
2025-01-08,466.9662,599.7061,1172.8172
2025-01-09,467.104,599.5274,1172.8784
2025-01-10,467.1575,599.9188,1173.0174
2025-01-13,467.5518,599.4309,1173.8787
2025-01-14,467.3463,599.4166,1174.6417
2025-01-15,467.406,599.051,1174.3253
2025-01-16,467.8215,599.2171,1174.4967
2025-01-17,468.1151,598.5872,1173.7345
2025-01-20,467.8115,598.813,1173.2955
2025-01-21,468.1508,598.6609,1173.4509
2025-01-22,468.1301,598.6347,1173.9813
2025-01-23,468.3918,598.9444,1174.7122
2025-01-24,468.6322,599.5319,1174.69
2025-01-27,469.1723,598.8752,1174.0481
2025-01-28,469.3653,599.4124,1174.4619
2025-01-29,468.9333,599.7592,1174.5393
2025-01-30,468.6616,599.7362,1174.9804
2025-01-31,469.0677,600.4661,1175.2686
2025-02-03,469.1624,600.6664,1175.8954
2025-02-04,469.7091,601.3581,1176.4907
2025-02-05,469.9841,601.2248,1177.2044
2025-02-06,469.9369,600.976,1177.1414
2025-02-07,470.4806,601.6521,1177.956
2025-02-10,470.4242,602.7464,1177.8762
2025-02-11,469.9739,603.1718,1178.1537
2025-02-12,470.8452,603.7148,1179.5009
2025-02-13,470.449,603.6615,1179.9502
2025-02-14,470.8719,603.2377,1179.4898
2025-02-17,471.3957,603.3016,1180.6274
2025-02-18,471.6698,604.1288,1181.4746
2025-02-19,471.3619,603.481,1182.4096
2025-02-20,471.921,603.4374,1182.7822
2025-02-21,471.6974,602.7726,1183.2474
2025-02-24,471.5083,603.0011,1183.3685
2025-02-25,471.6365,603.5697,1183.2124
2025-02-26,472.1355,603.2097,1184.3972
2025-02-27,472.481,603.219,1184.4456
2025-02-28,472.9925,603.9943,1184.4292
2025-03-03,473.1049,604.1497,1184.4374
2025-03-04,473.3063,603.801,1185.8313
2025-03-05,473.2009,603.4203,1186.6367
2025-03-06,473.3599,602.7342,1186.6964
2025-03-07,473.8117,603.2765,1186.951
2025-03-10,473.9792,603.1517,1187.5407
2025-03-11,474.3961,603.8187,1188.3525
2025-03-12,474.4785,604.406,1187.6721
2025-03-13,474.5556,604.3224,1188.5011
2025-03-14,474.8357,604.2975,1188.6577
2025-03-17,475.0413,604.8482,1188.5341
2025-03-18,475.4993,605.1223,1188.5883
2025-03-19,475.8249,605.4487,1189.352
2025-03-20,476.6503,604.9325,1190.6956
2025-03-21,476.8484,605.5358,1191.0727
2025-03-24,477.0436,605.3586,1191.6948
2025-03-25,476.9781,604.5674,1191.4937
2025-03-26,477.252,604.5025,1192.0752
2025-03-27,477.7362,604.8939,1192.8544
2025-03-28,477.7638,606.0211,1192.2461
2025-03-31,478.0111,606.0603,1192.2216
2025-04-01,478.5028,605.6769,1192.9778
2025-04-02,478.7222,606.8113,1192.2025
2025-04-03,478.8143,607.08,1192.2563
2025-04-04,479.3818,607.1612,1192.8929
2025-04-07,479.6668,606.8817,1192.1525
2025-04-08,480.0453,606.6315,1192.186
2025-04-09,480.6691,607.4711,1192.4879
2025-04-10,481.2819,607.5383,1193.2884
2025-04-11,481.4141,607.485,1192.7846
2025-04-14,481.4863,607.441,1193.7106
2025-04-15,481.8143,608.3079,1194.1511
2025-04-16,482.0055,608.2223,1195.1229
2025-04-17,481.6277,608.6688,1196.0709
2025-04-18,482.2623,608.9523,1196.5219
2025-04-21,482.4911,609.2202,1197.0559
2025-04-22,482.9453,608.9928,1196.2508
2025-04-23,482.7844,609.437,1195.6752
2025-04-24,483.4068,610.295,1195.3021
2025-04-25,483.4243,610.4177,1195.3191
2025-04-28,483.591,610.1542,1196.1002
2025-04-29,483.339,609.7225,1195.2466
2025-04-30,483.4772,609.938,1195.2662
2025-05-01,483.5904,609.945,1194.6802
2025-05-02,483.7127,610.0207,1193.9472
2025-05-05,484.0294,610.1424,1195.0298
2025-05-06,484.2199,609.6043,1195.28
2025-05-07,484.6979,610.0539,1196.4469
2025-05-08,484.7083,610.2572,1197.3376
2025-05-09,484.5442,610.319,1196.9594
2025-05-12,484.6871,610.51,1196.0155
2025-05-13,485.0313,611.0006,1197.4208
2025-05-14,485.5669,611.1014,1197.335
2025-05-15,485.9587,610.7987,1196.7996
2025-05-16,485.5191,611.3771,1197.3597
2025-05-19,485.7589,611.2457,1197.5808
2025-05-20,486.3393,610.9796,1197.311
2025-05-21,486.4662,610.3391,1197.2303
2025-05-22,486.4017,610.3832,1197.4477
2025-05-23,486.5949,609.9565,1197.6063
2025-05-26,486.5217,609.756,1198.1675
2025-05-27,486.8077,609.9752,1198.057
2025-05-28,486.8786,610.0049,1197.9461
2025-05-29,487.393,610.4606,1198.3951
2025-05-30,487.6149,610.597,1198.665
2025-06-02,487.4389,610.4148,1199.3971
2025-06-03,487.6814,610.2589,1199.3162
2025-06-04,488.0235,610.0181,1199.3198
2025-06-05,487.8776,610.2786,1198.6822
2025-06-06,487.7708,610.2575,1199.6312
2025-06-09,487.0561,610.0397,1198.8379
2025-06-10,487.3617,610.3679,1198.9956
2025-06-11,487.1836,610.3602,1198.4904
2025-06-12,486.5079,610.0989,1198.7163
2025-06-13,485.939,609.3705,1199.18
2025-06-16,485.8584,609.4937,1198.2072
2025-06-17,486.0861,609.5231,1198.0849
2025-06-18,486.0356,609.4637,1197.0289
2025-06-19,486.1584,609.1845,1197.8633
2025-06-20,485.7715,608.7233,1197.5829
2025-06-23,485.3016,608.523,1196.6164
2025-06-24,485.5384,608.5181,1196.1686
2025-06-25,485.6432,608.3492,1196.9227
2025-06-26,485.5749,608.1669,1197.7767
2025-06-27,485.9207,607.8365,1198.4946
2025-06-30,485.5461,607.8554,1197.9738
2025-07-01,485.3357,607.8223,1197.8265
2025-07-02,485.5827,607.3498,1198.7459
2025-07-03,486.0838,607.5374,1198.24
2025-07-04,485.9942,607.7332,1197.9669
2025-07-07,486.4341,607.9336,1197.3169
2025-07-08,486.1385,607.7134,1196.5357
2025-07-09,486.1362,607.4601,1197.1717
2025-07-10,485.9679,606.7774,1197.4574
2025-07-11,485.3421,606.9319,1197.6296
2025-07-14,485.3025,605.81,1197.8753
2025-07-15,485.4743,605.4513,1198.3813
2025-07-16,485.2957,605.1106,1199.1764
2025-07-17,485.1378,605.292,1199.0567
2025-07-18,485.444,605.0922,1198.7327
2025-07-21,484.9007,604.4644,1197.995
2025-07-22,484.2742,603.6293,1198.5171
2025-07-23,483.9139,603.0976,1198.0772
2025-07-24,483.3765,602.93,1197.046
2025-07-25,483.6496,602.7364,1196.7469
2025-07-28,483.5877,602.4285,1196.6205
2025-07-29,483.1471,601.9034,1196.976
2025-07-30,482.7836,601.584,1197.4313
2025-07-31,483.5296,601.7935,1196.8432
2025-08-01,483.1622,601.0772,1196.2109
2025-08-04,482.744,600.8575,1195.8596
2025-08-05,482.6647,601.3331,1194.9761
2025-08-06,482.6904,601.3384,1194.7517
2025-08-07,482.5809,600.8974,1194.868
2025-08-08,482.108,600.9461,1194.7317
2025-08-11,481.5536,600.3717,1193.6002
2025-08-12,481.5596,600.13,1192.7201
2025-08-13,481.3563,600.5679,1193.3258
2025-08-14,480.6443,601.1545,1192.551
2025-08-15,480.8315,600.1552,1192.8266
2025-08-18,480.8916,600.2152,1193.0377
2025-08-19,480.6261,600.8242,1192.6761
2025-08-20,480.3542,600.3357,1191.9094
2025-08-21,480.2398,600.2012,1191.8671
2025-08-22,479.8316,600.616,1191.1671
2025-08-25,479.2122,600.1514,1190.8937
2025-08-26,479.1281,600.103,1190.79
2025-08-27,478.481,599.8303,1190.1933
2025-08-28,478.4205,598.7376,1189.8916
2025-08-29,477.7748,598.6454,1189.542
2025-09-01,477.5599,598.3212,1188.6376
2025-09-02,477.3349,598.488,1188.3616
2025-09-03,477.7253,599.1691,1187.8193
2025-09-04,477.2066,599.2319,1186.5667
2025-09-05,476.5778,598.8342,1186.208
2025-09-08,476.1972,598.7984,1185.8844
2025-09-09,475.6661,598.6558,1185.37
2025-09-10,475.3085,598.877,1183.9841
2025-09-11,475.2771,598.0178,1184.3036
2025-09-12,475.3609,597.2814,1184.5705
2025-09-15,475.7317,596.1613,1184.8207
2025-09-16,475.3391,596.2115,1184.8786
2025-09-17,476.0299,595.9896,1183.991
2025-09-18,476.5142,595.498,1183.9347
2025-09-19,476.3028,594.9726,1183.2519
2025-09-22,475.4271,594.5184,1184.442
2025-09-23,475.2621,593.9117,1184.0112
2025-09-24,475.1511,593.5761,1184.2975
2025-09-25,474.2853,593.1687,1183.256
2025-09-26,474.1834,593.5947,1182.4427
2025-09-29,473.9984,593.556,1182.0199
2025-09-30,473.6308,593.0196,1182.3452
2025-10-01,473.7199,592.5913,1182.5823
2025-10-02,473.9351,592.9524,1182.6687
2025-10-03,473.6781,592.99,1181.475
2025-10-06,473.6553,592.9637,1182.0776
2025-10-07,473.3549,593.1299,1181.451
2025-10-08,473.0177,593.6823,1182.3547
2025-10-09,472.9631,593.0066,1183.4144
2025-10-10,473.0562,592.5442,1183.8557
2025-10-13,472.8073,591.6496,1184.4001
2025-10-14,472.036,591.7444,1183.6004
2025-10-15,472.1664,591.4607,1185.112
2025-10-16,471.6045,591.054,1185.2116
2025-10-17,471.5984,590.6136,1185.7864
2025-10-20,472.1288,590.8188,1185.2526
2025-10-21,472.0906,590.6635,1185.2008
2025-10-22,471.6833,590.3435,1184.4821
2025-10-23,471.1954,590.8156,1184.3379
2025-10-24,471.556,590.2813,1184.3532
2025-10-27,471.5429,589.6574,1184.519
2025-10-28,471.7144,590.7378,1185.3753
2025-10-29,472.0161,590.5212,1185.6891
2025-10-30,472.0121,590.2338,1185.867
2025-10-31,471.9315,589.8719,1185.9283
2025-11-03,471.6531,589.7764,1187.1793
2025-11-04,470.6979,590.092,1186.883
2025-11-05,470.2499,590.4013,1187.6537
2025-11-06,470.2719,590.625,1186.5412
2025-11-07,470.2666,590.4932,1186.0854
2025-11-10,470.4531,589.8349,1186.409
2025-11-11,470.4764,589.9632,1186.3962
2025-11-12,470.5977,590.6418,1188.2909
2025-11-13,470.9265,591.129,1189.9353
2025-11-14,470.7265,591.0782,1189.127
2025-11-17,470.7242,591.4609,1188.5941
2025-11-18,470.3059,591.3272,1188.6249
2025-11-19,470.7194,591.3452,1189.7913
2025-11-20,470.8402,590.8506,1190.6018
2025-11-21,471.1117,590.7665,1190.933
2025-11-24,471.7261,590.8892,1190.2252
2025-11-25,472.1985,590.8818,1189.8656
2025-11-26,472.3122,591.2935,1188.4084
2025-11-27,472.7032,592.2012,1187.6464
2025-11-28,472.3897,592.8674,1188.0683
2025-12-01,472.679,592.8237,1188.714
2025-12-02,472.8796,592.5981,1188.1097
2025-12-03,472.5235,592.4126,1188.3584
2025-12-04,473.1186,592.0896,1189.5237
2025-12-05,473.0659,592.2171,1189.8168
2025-12-08,473.4624,592.5202,1189.8334
2025-12-09,473.511,592.7238,1190.4063
2025-12-10,474.0169,592.937,1190.9338
2025-12-11,474.6298,593.1395,1191.1981
2025-12-12,474.5619,593.2191,1191.0976
2025-12-15,474.2745,593.0349,1191.0684
2025-12-16,474.4394,593.9406,1191.3525
2025-12-17,474.9223,594.5529,1191.2574
2025-12-18,475.0191,594.3088,1192.2959
2025-12-19,475.0424,594.0701,1193.0745
2025-12-22,475.4223,593.9758,1193.9738
2025-12-23,474.7661,594.1578,1195.441
2025-12-24,474.7844,594.8829,1196.6427
2025-12-25,474.5762,595.504,1197.7514
2025-12-26,474.9085,596.1518,1198.235
2025-12-29,474.9141,596.8116,1198.3834
2025-12-30,474.8014,597.4825,1200.0309
2025-12-31,474.9352,597.9937,1199.8965
2026-01-01,474.715,598.3834,1199.7972
2026-01-02,474.963,598.5232,1199.5504
2026-01-05,474.9991,597.9505,1199.9569
2026-01-06,475.1351,598.0903,1200.4872
2026-01-07,475.1643,599.0819,1201.3863
2026-01-08,475.7167,599.0448,1201.5344
2026-01-09,475.944,598.9716,1200.7785
2026-01-12,476.3754,599.6229,1201.2557
2026-01-13,476.7938,599.8632,1202.1274
2026-01-14,476.8018,599.8579,1202.4348
2026-01-15,477.251,600.7501,1202.644
2026-01-16,477.6302,601.2322,1203.2715
2026-01-19,477.9987,601.7736,1204.4216
2026-01-20,478.1395,601.7336,1204.6728
2026-01-21,478.2714,602.1609,1204.1116
2026-01-22,478.7913,602.5351,1204.0639
2026-01-23,479.7579,603.0853,1204.255
2026-01-26,479.7601,603.7988,1203.4646
2026-01-27,480.1984,604.5016,1204.2156
2026-01-28,480.3478,604.7831,1204.0436
2026-01-29,480.8645,605.2921,1204.6358
2026-01-30,481.2692,604.9926,1205.0387
2026-02-02,481.8715,605.4789,1205.1368
2026-02-03,481.2387,605.9816,1206.3966
2026-02-04,481.3063,606.0104,1206.341
2026-02-05,481.2481,605.8679,1206.2167
2026-02-06,481.4695,606.038,1206.6696
2026-02-09,481.4916,605.6979,1207.448
2026-02-10,481.5378,606.0392,1207.7191
2026-02-11,482.0047,606.3576,1207.3994
2026-02-12,482.8594,606.1263,1208.081
2026-02-13,482.1989,606.3303,1208.7071
2026-02-16,482.3395,606.9801,1210.2128
2026-02-17,482.6762,607.6244,1210.3378
2026-02-18,482.9111,608.2425,1210.7199
2026-02-19,483.0305,608.3461,1210.63
2026-02-20,482.8235,608.3635,1209.9839
2026-02-23,482.744,608.3537,1210.2716
2026-02-24,483.1943,608.7727,1211.0206
2026-02-25,483.7526,609.9616,1210.6471
2026-02-26,483.9933,610.7296,1210.4723
2026-02-27,483.931,611.5727,1209.9927
2026-03-02,484.1624,612.3074,1211.0184
2026-03-03,484.2816,611.7338,1210.8549
2026-03-04,484.6474,611.7767,1211.4142
2026-03-05,484.8715,611.7126,1211.1018
2026-03-06,484.8537,612.3835,1211.3483
2026-03-09,485.0907,613.2424,1211.1692
2026-03-10,484.884,613.061,1209.9514
2026-03-11,485.3117,613.1832,1210.1834
2026-03-12,485.8498,613.5281,1210.6798
2026-03-13,485.6268,613.4074,1209.6037
2026-03-16,485.9099,613.2193,1209.6674
2026-03-17,485.7354,613.0038,1209.5706
2026-03-18,486.2151,613.4699,1209.0804
2026-03-19,486.6352,613.1407,1209.0804
2026-03-20,486.6864,613.7051,1208.0614
2026-03-23,487.1234,613.802,1208.3505
2026-03-24,487.098,614.1852,1209.1946
2026-03-25,486.9985,614.9113,1208.5639
2026-03-26,486.9166,614.657,1208.6447
2026-03-27,486.9652,614.3314,1209.6136
2026-03-30,486.949,614.5465,1209.7943
2026-03-31,487.0793,614.1135,1209.5841
2026-04-01,486.957,613.8068,1209.1323
2026-04-02,487.2697,613.7649,1209.327
2026-04-03,487.658,613.8354,1209.3289
2026-04-06,487.5543,613.2833,1209.7829
2026-04-07,487.1461,613.1037,1208.9392
2026-04-08,487.4197,613.3419,1209.6474
2026-04-09,487.8195,613.9083,1209.4607
2026-04-10,487.7961,613.0151,1209.8952
2026-04-13,487.4069,613.5511,1209.5041
2026-04-14,487.5081,613.8942,1208.7612
2026-04-15,488.0054,613.3672,1208.4504
2026-04-16,487.4079,612.6647,1207.9007
2026-04-17,487.5574,612.7845,1207.6924
2026-04-20,487.4471,612.5305,1208.0913
2026-04-21,487.1571,612.514,1208.7423
2026-04-22,487.294,612.8091,1208.8619
2026-04-23,486.8496,612.5571,1208.5288
2026-04-24,486.9096,612.5333,1208.2431
2026-04-27,487.2887,612.6406,1208.5773
2026-04-28,487.2981,612.9231,1209.2318
2026-04-29,486.9645,613.5822,1209.0048
2026-04-30,486.336,614.2087,1208.8904
2026-05-01,485.8608,614.1894,1208.3944
2026-05-04,485.2009,613.9552,1208.4678
2026-05-05,485.6364,614.8587,1208.9855
2026-05-06,485.4746,614.9974,1207.1801
2026-05-07,485.0527,615.0373,1207.266
2026-05-08,484.5445,614.4023,1206.8628
2026-05-11,484.1049,614.5853,1205.388
2026-05-12,483.8942,614.0819,1205.493
